# Wohnung Kauf from immoscout24.de on 2019-06-18-14-05
ID,Haus/Wohnung,ID,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,lat,livingSpace,lon,numberOfRooms,postcode,price,privateOffer,quarter,title,url
108374061,Wohnung,108374061,Kauf,"Sophienterrasse 14, Harvestehude, Hamburg",true,false,Hamburg,true,002.01000718389,false,53.57615,257.04,9.99628,4,20149,4401000,false,Harvestehude,Herzen höher schlagen lassen: Maisonette-Penthouse mit sonniger Dachterrasse im Sophienpalais,https://www.immobilienscout24.de/expose/108374061
109383549,Wohnung,109383549,Kauf,"Sophienterrasse 14, Harvestehude, Hamburg",true,false,Hamburg,true,002.01000718389,false,53.57615,282.31,9.99628,5,20149,4238000,false,Harvestehude,Einzig aber nicht artig: Top-Roof im Sophienpalais,https://www.immobilienscout24.de/expose/109383549
111371370,Wohnung,111371370,Kauf,"Tonndorf, Hamburg",false,true,Hamburg,true,001.150603,false,,60.51,,2,22045,181000,false,Tonndorf,Ansprechender Wohngenuss!,https://www.immobilienscout24.de/expose/111371370
105708431,Wohnung,105708431,Kauf,"Niendorf, Hamburg",false,true,Hamburg,true,001.150603,true,,67.06,,2,22455,244000,false,Niendorf,Interessanter Grundriss in beliebter Lage!,https://www.immobilienscout24.de/expose/105708431
106069645,Wohnung,106069645,Kauf,"Weidengrasweg 1, Neugraben-Fischbek, Hamburg",true,false,Hamburg,true,001.15347,false,53.47536,106,9.84621,3,21147,399900,false,Neugraben-Fischbek,Bezaubernde 3-Zimer-Eigentumswohnung verteilt auf 2 Etagen,https://www.immobilienscout24.de/expose/106069645
109523618,Wohnung,109523618,Kauf,"Diestelstraße 30, Wohldorf-Ohlstedt, Hamburg",true,false,Hamburg,true,001.9255274,false,53.68993,73.4,10.12623,2,22397,428000,false,Wohldorf-Ohlstedt,Das Flair der Walddörfer in Ihren vier Wänden - 2 Zimmer-Balkonwohnung mit idyllischem Ausblick,https://www.immobilienscout24.de/expose/109523618
109523620,Wohnung,109523620,Kauf,"Diestelstraße 30, Wohldorf-Ohlstedt, Hamburg",true,false,Hamburg,true,001.9255274,false,53.68993,208.54,10.12623,5,22397,999000,false,Wohldorf-Ohlstedt,Großzügiges Wohnen auf zwei Ebenen - Weitläufige Terrasse & großzügiger Balkon auf der Südseite,https://www.immobilienscout24.de/expose/109523620
109748644,Wohnung,109748644,Kauf,"Bleichertwiete 12, 14 und 16, Bergedorf, Hamburg",true,false,Hamburg,true,001.9255274,false,53.48407,46.03,10.21802,1,21029,225000,false,Bergedorf,Hochwertig ausgestattete 1-Zimmer-Wohnung mit privatem Garten in Bergedorf,https://www.immobilienscout24.de/expose/109748644
110377476,Wohnung,110377476,Kauf,"Bleichertwiete 12, 14 und 16, Bergedorf, Hamburg",true,false,Hamburg,true,001.9255274,false,53.48407,98,10.21802,3,21029,468000,false,Bergedorf,Großzügige 3-Zimmer-Wohnung mit Terrasse im privaten Garten in Bergedorf,https://www.immobilienscout24.de/expose/110377476
110377487,Wohnung,110377487,Kauf,"Bleichertwiete 12, 14 und 16, Bergedorf, Hamburg",true,false,Hamburg,true,001.9255274,false,53.48407,91.39,10.21802,3,21029,475000,false,Bergedorf,Gemütlicher Balkon und helle Wohnräume: großzügige 3-Zimmer-Wohnung in Bergedorf,https://www.immobilienscout24.de/expose/110377487
111781952,Wohnung,111781952,Kauf,"Walddörferstraße 292, Wandsbek, Hamburg",false,false,Hamburg,true,001.9255274,false,53.58241,73.29,10.0948,3,22047,392000,false,Wandsbek,Sofort bezugsfertig: helle 3-Zimmer-Wohnung mit sonniger Loggia – Einbauküche inklusive ,https://www.immobilienscout24.de/expose/111781952
99455530,Wohnung,99455530,Kauf,"Julius-Vosseler-Strasse 82a, Lokstedt, Hamburg",true,false,Hamburg,false,001.507379,false,53.59171,69.14,9.94497,2,22527,441152,false,Lokstedt,Traumwohnung mit Ausblick – Julius-Vosseler-Str. 82a,https://www.immobilienscout24.de/expose/99455530
111039420,Wohnung,111039420,Kauf,"Nienstedten, Hamburg",false,true,Hamburg,true,001.455647,true,,155,,4,22609,1190000,false,Nienstedten,Haus im Haus am Park,https://www.immobilienscout24.de/expose/111039420
111723713,Wohnung,111723713,Kauf,"Alsterufer 10, Rotherbaum, Hamburg",false,false,Hamburg,false,001.5759162,false,53.56033,58,9.99611,2,20354,900000,false,Rotherbaum,THE 10 - Elegantes Studio an der Alster,https://www.immobilienscout24.de/expose/111723713
111992585,Wohnung,111992585,Kauf,"Sophienterrasse 14, Harvestehude, Hamburg",true,false,Hamburg,true,002.01000718389,false,53.57615,275.91,9.99628,3,20149,4642000,false,Harvestehude,Up in the Sky: Penthouse über 2 Ebenen im historischen Sophienpalais,https://www.immobilienscout24.de/expose/111992585
110912198,Wohnung,110912198,Kauf,"Oktaviostraße 96-102, Marienthal, Hamburg",false,false,Hamburg,true,001.177210,false,53.56605,109.45,10.09873,4,22043,807000,false,Marienthal,Modernes Stadthaus mit Einbauküche und Südterrasse,https://www.immobilienscout24.de/expose/110912198
110303332,Wohnung,110303332,Kauf,"Düsterntwiete 8, Osdorf, Hamburg",true,false,Hamburg,true,001.319782,true,53.57166,162.5,9.84379,4,22549,890000,false,Osdorf,Courtagefrei: Alternative zum Haus - Große Familienwohnung mit eigenem Garten im Hamburger Westen,https://www.immobilienscout24.de/expose/110303332
110168736,Wohnung,110168736,Kauf,"Barmbek-Süd, Hamburg",true,false,Hamburg,false,001.15530558,false,,117,,4,22083,1150000,false,Barmbek-Süd,PIANOSUITES: Penthouse  – 3 Neubauwohnungen in begehrter Lage – HH – Komponistenviertel,https://www.immobilienscout24.de/expose/110168736
112049440,Wohnung,112049440,Kauf,"Wandsbek, Hamburg",false,false,Hamburg,true,001.177210,false,,102.1,,4,22041,690000,false,Wandsbek,4-Zimmer-Wohnung mit Blick ins Grüne und auf die Wandse,https://www.immobilienscout24.de/expose/112049440
111145999,Wohnung,111145999,Kauf,"Niendorf, Hamburg",false,true,Hamburg,true,001.150603,false,,89,,3,22455,299500,false,Niendorf,Eigentumswohnung mit Ausblick über die Dächer Niendorfs!,https://www.immobilienscout24.de/expose/111145999
110036782,Wohnung,110036782,Kauf,"Niendorf, Hamburg",false,true,Hamburg,true,001.150603,false,,61,,2,22459,159500,false,Niendorf,2-Zimmer-Eigentumswohnung in Hamburg-Niendorf!,https://www.immobilienscout24.de/expose/110036782
109523622,Wohnung,109523622,Kauf,"Diestelstraße 30, Wohldorf-Ohlstedt, Hamburg",true,false,Hamburg,true,001.9255274,false,53.68993,127.75,10.12623,3,22397,650000,false,Wohldorf-Ohlstedt,Exklusiv Wohnen in den Walddörfern - Noble 3-Zimmer-Maisonette-Wohnung mit Terrasse und Balkon,https://www.immobilienscout24.de/expose/109523622
111736124,Wohnung,111736124,Kauf,"Poppenbüttel, Hamburg",false,true,Hamburg,true,001.503540,false,,68,,3,22391,398000,false,Poppenbüttel,"Lichtdurchflutete, exklusive 3-Zimmer-Wohnung in gefragter Lage am AEZ!",https://www.immobilienscout24.de/expose/111736124
108177398,Wohnung,108177398,Kauf,"Böttcherkamp 20, Lurup, Hamburg",true,false,Hamburg,true,001.15347,false,53.58639,74,9.87607,2,22547,357500,false,Lurup,Ihr neues Komfort-Zuhause in Hamburg-Lurup,https://www.immobilienscout24.de/expose/108177398
110915148,Wohnung,110915148,Kauf,"Rissen, Hamburg",false,true,Hamburg,true,001.150603,false,,59.33,,2,22559,213400,false,Rissen,Kapitalanlage mit garantierten Mieteinnahmen - Eigentumswohnung in Hamburg-Rissen!,https://www.immobilienscout24.de/expose/110915148
110384167,Wohnung,110384167,Kauf,"Rahlstedt, Hamburg",false,true,Hamburg,true,001.150603,false,,62.39,,2,22149,179500,false,Rahlstedt,Naturnah und doch zentral - Eigentumswohnung in Hamburg-Rahlstedt!,https://www.immobilienscout24.de/expose/110384167
