Strasse;Hausnr1;Hausnr2;Art;Wohnlage;Wohnlagenkennwert;Stadtteil
1. Hafenstrasse;1;-1;U;normal;-21,282;Heimfeld
Aalheitengraben;1;-3;U;gut;2,06;Volksdorf
Aalheitengraben;4;-14;G;gut;1,767;Volksdorf
Aalkrautweg;1;-35;U;gut;4,675;Sasel
Aalkrautweg;2;-58;G;gut;4,72;Sasel
Aalort;1;-13;U;gut;3,075;Sasel
Aalort;4;-12;G;gut;2,958;Sasel
Aalwisch;001a;-23;U;gut;6,028;Bergstedt
Aalwisch;2;-20;G;gut;6,156;Bergstedt
Aalwischkoppel;001a;-24;S;gut;6,126;Bergstedt
Abbestrasse;14;-16;G;normal;-4,444;Ottensen
Abbestrasse;15;-25;U;normal;-4,462;Ottensen
Abbestrasse;27;-35;U;normal;-4,778;Ottensen
Abbestrasse;40;-50;G;normal;-4,485;Ottensen
ABC-Strasse;1;-8;S;gut;2,106;Neustadt
ABC-Strasse;44;-51;S;gut;0,594;Neustadt
Abelskamp;1;-16;S;gut;0,821;Duvenstedt
Abendrothsweg;15;-41;U;gut;1,67;Hoheluft-Ost
Abendrothsweg;20;-38;G;gut;1,315;Hoheluft-Ost
Abendrothsweg;44;-50;G;gut;0,478;Hoheluft-Ost
Abendrothsweg;45;-49;U;gut;0,659;Hoheluft-Ost
Abendrothsweg;54;-60;G;gut;0,476;Hoheluft-Ost
Abendrothsweg;55;-61;U;gut;0,625;Hoheluft-Ost
Abendrothsweg;64;-64;G;gut;0,466;Hoheluft-Ost
Abendrothsweg;65;-69;U;gut;0,588;Hoheluft-Ost
Abendrothsweg;71;-73;U;gut;0,527;Hoheluft-Ost
Abendrothsweg;74;-74;G;gut;0,414;Hoheluft-Ost
Abendrothsweg;78;-80;G;normal;-2,307;Hoheluft-Ost
Abrahamstrasse;1;-43;U;normal;-9,029;Rahlstedt
Abrahamstrasse;2;-36;G;normal;-8,932;Rahlstedt
Abteistrasse;1;-25;U;gut;12,527;Harvestehude
Abteistrasse;2;-24;G;gut;12,454;Harvestehude
Abteistrasse;28;-38;G;gut;12,456;Harvestehude
Abteistrasse;29;-31;U;gut;12,273;Harvestehude
Abteistrasse;33;-59;U;gut;12,424;Harvestehude
Achter Billing;1;-35;U;gut;2,742;Poppenbuettel
Achter Billing;2;-36;G;gut;2,791;Poppenbuettel
Achter de Hoef;1;-21;U;normal;-1,683;Rissen
Achter de Hoef;4;-12;G;normal;-1,394;Rissen
Achter de Hoef;014a;-   016c;G;normal;-4,202;Rissen
Achter de Kark;1;-35;S;normal;-0,983;Bergedorf
Achter de Kark;51;-51;U;normal;-0,959;Bergedorf
Achter de Wisch;5;-9;U;gut;1,148;Neuengamme
Achter de Wisch;10;-20;G;gut;1,488;Neuengamme
Achter de Wisch;17;-23;U;gut;1,438;Neuengamme
Achter de Wisch;24;-34;G;gut;1,412;Neuengamme
Achter de Wisch;25;-27;U;gut;1,424;Neuengamme
Achter de Wisch;33;-37;U;gut;1,419;Neuengamme
Achter de Wisch;36;-48;G;gut;1,458;Neuengamme
Achter de Wisch;41;-45;U;gut;1,444;Neuengamme
Achter de Wisch;49;-59;U;gut;1,476;Neuengamme
Achter Luettmoor;1;-63;U;normal;-4,388;Rissen
Achter Luettmoor;002a;-14;G;normal;-4,435;Rissen
Achter Luettmoor;16;-22;G;normal;-4,192;Rissen
Achter Luettmoor;24;-62;G;normal;-4,325;Rissen
Achterdwars;8;-32;G;normal;-12,339;Bergedorf
Achterdwars;31;-31;U;normal;-12,236;Bergedorf
Achterkamp;18;-18;G;normal;-3,377;Roenneburg
Achtern Barls;6;-14;S;normal;-14,318;Lurup
Achtern Born;1;-73;U;normal;-7,945;Osdorf
Achtern Born;4;-94;G;normal;-16,296;Osdorf
Achtern Born;75;-133;U;normal;-15,961;Osdorf
Achtern Brack;6;-   018b;G;normal;-1,441;Francop
Achtern Hoff;1;-7;S;gut;6,377;Volksdorf
Achtern Hollerbusch;1;-3;U;gut;3,364;Sasel
Achtern Hollerbusch;4;-12;G;gut;3,184;Sasel
